1,2,3,4,5,6,,,,,,,,,,,
45,881.3,18900.4,197486.3,864744.3,2298194.1,,,,,,,,,,,
28.9,286.3,5208.1,12345.5,95502.9,100624.7,,,,,,23.3,273.3,4814.3,42249.1,112693.1,190590.6
